Parametros,Rodada,Acuracia,F1ScoreMacro,TempoProcessamento,DataExecucao,Estatisticas
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",8,0.84,0.6894024276377217,0.04416012763977051,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""binary"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",9,0.87,0.7313131313131312,0.05055689811706543,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",0,0.76,0.5933711216319912,0.029841899871826172,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",1,0.69,0.5298136645962733,0.02814030647277832,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",2,0.67,0.4588571428571429,0.02870917320251465,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",3,0.79,0.6331679431679432,0.034235477447509766,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",4,0.77,0.5723653395784543,0.031580448150634766,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",5,0.73,0.5528169014084507,0.030541181564331055,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",6,0.68,0.5109108212049389,0.032068729400634766,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",7,0.8,0.5790790106579581,0.032303810119628906,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",8,0.72,0.5626116071428571,0.029310226440429688,2024-02-24 22:30:01,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": null}",9,0.8,0.6513440860215054,0.036866188049316406,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",0,0.87,0.7104832104832105,0.03668045997619629,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",1,0.8,0.6431663574520716,0.036841630935668945,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",2,0.84,0.6655011655011654,0.032433271408081055,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",3,0.88,0.7375029613835584,0.028302907943725586,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",4,0.9,0.7404692082111437,0.037032365798950195,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",5,0.85,0.7133072407045009,0.03412270545959473,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",6,0.79,0.647358121330724,0.0260617733001709,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",7,0.92,0.8113900823487289,0.032586097717285156,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",8,0.86,0.7253968253968254,0.03628253936767578,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",9,0.94,0.8333333333333333,0.032953500747680664,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
